mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20.0,600,1166
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,20.0,9000,4000
جدة,شمال جدة,حي الزمرد,غرب,سكني,16.0,450,1166
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60.0,2135,8000
الخبر,,حي اللؤلؤ,شرق,سكني,40.0,803,709
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4400
الخبر,,حي المرجان,شمال شرقي,سكني,20.0,1082,554
الرياض,شرق الرياض,حي القادسية,جنوب شرقي,سكني,20.0,665,2100
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15.0,350,4300
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,535,2700
الرياض,شرق الرياض,حي المونسية,جنوب شرقي,,15.0,288,2700
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15.0,300,3300
الدرعية,,حي الدرعية الجديدة,جنوب شرقي,سكني,15.0,3000,400
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,25.0,825,4500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,12.0,300,4400
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15.0,412,2400
الرياض,شرق الرياض,حي اليرموك,غرب,تجاري,60.0,807,3500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,12.0,276,4500
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15.0,401,1550
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,500,3500
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,675,3500
الرياض,شمال الرياض,حي حطين,شمال غربي,تجاري,40.0,900,4500
الرياض,شمال الرياض,حي النرجس,شمال شرقي,,20.0,1050,3000
جدة,شمال جدة,حي الشراع,جنوب,سكني,16.0,600,2166
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20.0,448,1550
الرياض,شمال الرياض,حي حطين,شمال,سكني,30.0,700,4900
الرياض,جنوب الرياض,حي عريض,شرق,سكني,20.0,1000,700
الرياض,شرق الرياض,حي الشرق,غرب,سكني,15.0,750,280
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,20.0,1200,3500
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15.0,500,2000
الرياض,غرب الرياض,حي المهدية,غرب,سكني,25.0,424,1415
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15.0,375,3500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,450,4000
الدمام,,حي الجامعيين,3 شوارع,سكني,30.0,1951,1500
الرياض,شرق الرياض,حي الجنادرية,4 شوارع,سكني أو تجاري,100.0,20884,1680
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,15.0,726,4000
الرياض,شرق الرياض,حي اليرموك,جنوب غربي,سكني,20.0,884,2500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,810,4000
الرياض,شمال الرياض,حي المحمدية,شرق,,25.0,600,4900
الرياض,شرق الرياض,حي الحمراء,جنوب غربي,سكني,20.0,1282,3900
الرياض,شمال الرياض,حي الوادي,شرق,سكني,15.0,300,3200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15.0,1119,3500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15.0,1120,3500
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,20.0,1456,4000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,875,4000
الرياض,شمال الرياض,حي القيروان,شمال,سكني,30.0,1535,3000
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20.0,750,933
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30.0,900,2600
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,918,3200
الرياض,شمال الرياض,حي العقيق,شرق,سكني,20.0,637,3300
الدرعية,,حي الخالدية,4 شوارع,,20.0,14250,3000
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20.0,1125,3000
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15.0,380,3000
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,20.0,8050,3300
الرياض,شمال الرياض,حي العارض,جنوب شرقي,سكني,18.0,1263,2600
